iter	Passed	Remaining
0	2	1210
1	3	924
2	5	916
3	7	981
4	9	983
5	10	892
6	12	903
7	14	913
8	17	927
9	19	935
10	21	953
11	23	959
12	25	963
13	27	958
14	29	958
15	31	955
16	34	971
17	36	967
18	37	957
19	39	948
20	40	917
21	42	914
22	44	920
23	46	917
24	48	919
25	50	923
26	52	925
27	55	934
28	57	935
29	59	936
30	62	938
31	65	957
32	67	956
33	68	941
34	70	940
35	72	940
36	75	938
37	77	937
38	78	933
39	81	938
40	82	922
41	83	914
42	85	913
43	88	912
44	89	902
45	91	902
46	93	900
47	95	900
48	97	898
49	99	896
50	101	892
51	103	888
52	104	884
53	106	881
54	108	878
55	110	875
56	112	872
57	113	868
58	115	861
59	116	857
60	118	855
61	120	848
62	121	846
63	124	846
64	126	848
65	128	844
66	130	842
67	130	831
68	132	827
69	134	824
70	136	821
71	137	820
72	139	815
73	141	812
74	143	813
75	145	810
76	146	807
77	148	801
78	150	799
79	151	795
80	154	799
81	156	798
82	158	798
83	161	797
84	162	793
85	164	791
86	166	792
87	169	791
88	170	789
89	173	788
90	175	790
91	177	787
92	179	785
93	181	785
94	184	785
95	186	784
96	188	782
97	191	784
98	192	781
99	194	779
100	197	779
101	198	776
102	201	775
103	203	773
104	205	771
105	207	772
106	209	769
107	211	768
108	214	768
109	215	765
110	217	761
111	219	760
112	222	760
113	224	759
114	226	757
115	228	756
116	231	756
117	233	756
118	235	754
119	238	755
120	239	751
121	241	747
122	243	746
123	245	745
124	248	744
125	250	743
126	252	741
127	255	741
128	257	740
129	258	736
130	259	731
131	261	728
132	263	726
133	264	723
134	266	721
135	268	719
136	270	717
137	272	714
138	274	712
139	276	710
140	277	705
141	279	703
142	280	701
143	282	698
144	284	696
145	286	695
146	288	693
147	290	690
148	292	688
149	293	685
150	295	683
151	297	681
152	299	678
153	301	677
154	303	675
155	305	673
156	308	673
157	309	669
158	310	666
159	312	664
160	314	662
161	316	661
162	318	659
163	320	657
164	322	654
165	324	652
166	326	650
167	327	647
168	329	645
169	331	644
170	334	644
171	336	641
172	338	640
173	340	637
174	342	635
175	343	633
176	345	630
177	347	629
178	349	627
179	351	624
180	353	622
181	354	620
182	356	618
183	358	615
184	360	613
185	362	611
186	365	611
187	366	608
188	368	606
189	370	605
190	373	604
191	375	602
192	377	600
193	380	599
194	382	598
195	384	595
196	386	593
197	387	591
198	389	589
199	391	587
200	393	585
201	395	583
202	397	581
203	398	578
204	400	576
205	402	574
206	404	571
207	405	569
208	408	568
209	409	565
210	411	563
211	413	561
212	415	559
213	417	557
214	419	556
215	421	554
216	424	553
217	426	551
218	428	549
219	429	546
220	431	544
221	433	542
222	435	540
223	437	539
224	439	537
225	442	535
226	444	534
227	445	531
228	447	530
229	450	528
230	452	527
231	454	524
232	456	523
233	458	520
234	459	518
235	460	515
236	462	513
237	464	511
238	466	509
239	467	506
240	469	504
241	471	502
242	473	500
243	475	498
244	476	496
245	478	494
246	480	492
247	482	490
248	483	487
249	484	484
250	486	482
251	488	480
252	490	478
253	491	476
254	493	474
255	495	472
256	497	470
257	499	468
258	500	466
259	502	464
260	504	462
261	506	460
262	508	458
263	510	456
264	512	454
265	515	453
266	516	451
267	519	449
268	521	447
269	523	445
270	525	444
271	528	442
272	530	440
273	532	438
274	534	437
275	536	435
276	538	433
277	540	431
278	542	429
279	544	427
280	546	425
281	548	423
282	550	421
283	552	420
284	553	417
285	556	416
286	558	414
287	560	412
288	561	409
289	563	407
290	565	406
291	567	404
292	570	403
293	572	400
294	573	398
295	575	396
296	577	394
297	579	392
298	581	391
299	583	389
300	585	387
301	587	385
302	589	383
303	591	381
304	592	379
305	594	377
306	596	375
307	598	373
308	600	371
309	601	368
310	603	366
311	605	364
312	607	362
313	608	360
314	610	358
315	612	356
316	615	355
317	617	353
318	618	351
319	620	349
320	622	347
321	624	345
322	626	343
323	628	341
324	630	339
325	631	337
326	633	335
327	635	333
328	636	331
329	639	329
330	640	327
331	642	325
332	644	323
333	646	321
334	648	319
335	649	316
336	651	314
337	652	312
338	654	310
339	656	308
340	658	306
341	659	304
342	661	302
343	663	300
344	664	298
345	666	296
346	667	294
347	669	292
348	671	290
349	673	288
350	675	286
351	677	284
352	678	282
353	680	280
354	681	278
355	683	276
356	685	274
357	687	272
358	689	270
359	690	268
360	692	266
361	694	264
362	696	262
363	697	260
364	699	258
365	701	256
366	703	254
367	705	252
368	707	251
369	708	249
370	710	247
371	712	245
372	714	243
373	716	241
374	717	239
375	719	237
376	721	235
377	723	233
378	726	231
379	728	229
380	730	228
381	732	226
382	734	224
383	736	222
384	738	220
385	740	218
386	742	216
387	743	214
388	745	212
389	747	210
390	749	208
391	750	206
392	752	204
393	754	202
394	756	200
395	758	199
396	760	197
397	762	195
398	765	193
399	768	192
400	771	190
401	773	188
402	776	186
403	779	185
404	781	183
405	783	181
406	785	179
407	787	177
408	789	175
409	791	173
410	793	171
411	795	169
412	797	168
413	799	166
414	801	164
415	804	162
416	806	160
417	809	158
418	811	156
419	812	154
420	813	152
421	815	150
422	817	148
423	819	146
424	821	144
425	823	142
426	824	140
427	825	138
428	827	136
429	829	135
430	831	133
431	832	131
432	834	129
433	836	127
434	838	125
435	840	123
436	842	121
437	844	119
438	846	117
439	847	115
440	849	113
441	851	111
442	853	109
443	855	107
444	857	106
445	859	104
446	861	102
447	863	100
448	865	98
449	867	96
450	869	94
451	871	92
452	873	90
453	875	88
454	877	86
455	878	84
456	880	82
457	882	80
458	884	78
459	885	77
460	887	75
461	889	73
462	891	71
463	892	69
464	894	67
465	896	65
466	898	63
467	900	61
468	902	59
469	904	57
470	906	55
471	908	53
472	909	51
473	912	50
474	913	48
475	915	46
476	917	44
477	919	42
478	921	40
479	923	38
480	925	36
481	927	34
482	929	32
483	931	30
484	933	28
485	934	26
486	936	25
487	938	23
488	940	21
489	942	19
490	944	17
491	946	15
492	949	13
493	950	11
494	952	9
495	954	7
496	956	5
497	958	3
498	959	1
499	961	0
